prompt,completion
any new facebook posts from amy,27
tell me the names on the list,59
what is the weather like outside it is cloudy,13
hi how are you,5
play jack johnson playlist music,45
happy,13
i want to listen to the new sam harris episode,36
it's very different,12
where is yellowstone park located,49
send email to mom and tell her see her at disney world,33
do i have any emails from katherine,44
today some things happened,12
add to calendar new event thanksgiving,50
sad,45
tell me when the next big earthquake will hit california,49
give me the schedule,32
find area,49
who played harry potter in the films,49
please show me lists,59
make my radio turn on,36
what time does the sun set,0
one hundred and fifty thousand two hundred and seventeenth,0
remind yourself to remind me about needed to be reminded about that meeting,50
pull up political news today from c. n. n.,22
can we please lower the lights,31
please remove sporty event from list,53
play you are my sunshine,45
order me the fish risotto from the golden fork,16
is it warm outside,13
dim the lights in the bathroom,31
set any appointment for this event in my calendar,50
what is latest gossip of holywood going on,22
i need help with cooking baked chicken,9
please set a reminder for tuesdays at nine am,50
pause the music,46
what music is playing right now,57
next episode in podcast,58
ask a pub in my area,19
turn the living room lights to one percent,1
can you book a train ticket for my father,2
can you play the podcast from tomatojuicecom,58
send answer to george,33
please send a taxi to my house,54
start playing again,20
what are the vietnamese restaurants in the area,19
play a game of chess with me,51
a fresh day,12
what did my wife leave to be done,12
olly list most rated delivery options for chinese food,3
tell me if the olive garden allows takeaway,3
brighten my bedroom light,18
what is the square root of thirty four,39
wish all my friends of facebook good morning,47
olly set lights to twenty percent,1
remind me of meeting five minutes before time,50
please skip to the next song,28
delete my doctor's appointment for february twelfth,30
olly good night lights off,40
make a calendar entry for next saturday at ten am please,50
how long will it take me to get to park avenue considering current traffic,11
activate robot cleaner in an hour,34
set reminder on calendar for,50
obtain latest news,22
what is the definition of mutual,26
what movies are playing near me olly,55
what does session mean,26
traffic,11
near pizza shops,16
how old is kim kardashian,49
please find description of the newest canon rebel camera,26
delete everything from my calendar,30
practical driving assessment,2
what is the birthday of adam gilchrist,49
is everyone on my facebook list watching the game,27
skip,58
did kim kardashian go to the paris fashion shows this year,49
recommend artists similar to rihanna,57
get me the weather forecast of beijing,13
don't forget about meeting reveca today at six p. m.,50
play my workout playlist,45
play imagine dragons,45
how is the weather right now,13
what is the biggest city in the world,49
tell me about some cool events going on here,6
go back to animal farm,20
good morning,5
i cup of joe would be nice right now,56
please activate my vacuum cleaner,34
make a note of this on the list,21
olly change my light color to blue and please turn off the kitchen light,1
olly please check my email for me,44
set frequency of the radio,36
find train time to ny,42
is the weather cloudy tonight,13
what's the average price of a house in michigan,12
play old classic music,45
set the reminder for upcoming meeting,50
what is on the agenda for today,32
please rate this song five stars please,43
do i have any thing going on at five,32
what is planned for today in my local area,6
tweet to the customer service account of starbucks,47
open uber and book a car for twelve o'clock,54
the date today please,0
siri what is the elevation of denver colorado,49
turn the lights down to seven,31
please tell me how to make a screwdriver,12
can you give me the time in new delhi,0
find me all mails from magda with holidays word in the title,44
what is good way to cook eggs,9
is there anything new in my gmail,44
i want a train ticket from los angeles to phoenix,2
show latest reports of b. b. c.,22
show me where i can find a hamburger,6
how do i make tuna casserole from scratch,9
someone,26
how many alarms have i set,23
i haven't been hearing any king crimson please add their first seven albums,45
can you tell me what time is it,0
i need some coffee,56
tune in to nine hundred and thirty five on radio,36
i need the exchange rate for the us dollar and the euro,10
do not wake me up on weekends,52
find me a cheap train ticket for miamy,2
olly remind me about my next meeting a few hours ahead of time,50
olly where can i go shopping in this area,19
does that restaurant deliver,3
remove all the events in my calendar,30
play checkers with me,51
start my bible study book again,20
what is the rate for g. b. p. to u. s. d.,10
call me a taxi to the airport at five am,54
raise a tweet on consumer,47
book a rajdhani train ticket from mumbai to ahmedabad,2
what's new on social media,27
show me a funny video on youtube,12
siri open twitter tweet at flooringco your carpet seams are showing in less than a month,47
bring the lights down a bit,31
how do i check my currency exchange rate,10
save this afternoon for my date,50
what the traffic condition outside my office,11
turn room lights off now,40
when is my alarm set for,23
play c. n. n. news,22
please start an email to jesse,33
i need a reminder alarm at one,48
set reminder for date night with husband next friday,50
alexa play my country playlist,45
remove my six am alarm,52
who is highest scoring football player of all time,49
did anybody email me today,44
shuffle music by aaron carter,28
write an email recipient ray,33
show me my husbands facebook posts today,27
check all new emails in my inbox,44
how much btaxes,19
read me new emails,44
what's on my grocery list,59
ten plus y.,39
identify current song playing,57
create a new list called grocery store please,21
song identifier,57
play children's music,45
what is the capital of france,49
do i have any new emails today,44
which store's got the cheapest three pound beef rump,19
who is the first president in u. s. a.,49
can you get me the route to chicago before midnight,49
i want to cancel the recording i have on the d. v. r. list for this morning,53
what is the track information currently,57
send twitter to mattel that they need to stop making toys in china,47
i want to order some pizza,16
tweet consumer service,47
how much rate will be calculated,4
n. p. r. ted talks,58
olly louder,14
play my dance music playlist,45
this question does not make sense,12
choose a brighter color for reading,1
find emails from bob about the bulldog,44
reply to name,33
who is the top of the music chart for two thousand and seventeen,12
weekend appointments,32
turn on the rice cooker socket,24
i want to know what is this newsource reporting,22
alexa add jpearsonjessica at gmail dot com to email contacts,15
put milk on the shopping list,21
create a new list for my birthday plans,21
stock price for google,4
tune song of ddlj movie,45
play first song on next album,45
i want to hear current dance hits,45
open radia,36
delete next event,30
give me charles telephone number,17
what time is it in switzerland,0
is rush limbaugh on the air if he is put him on,36
collect all ingredient needed for cooking with exact measurements and necessary equipments,9
i would love to hear the playlist i created for my wedding,45
olly did you have a good day,12
create an alarm for five p. m.,48
what's the latest joke,25
when does the next train to work leave,42
what you know about john abraham lincon,49
remove buying eggs item from to do list,53
play something random from google play,45
turn this room light off,40
commence coffee making,56
is this shop is good or bad,12
check if i have set any alarm for morning,23
is it joes birthday soon,17
jam,11
remind me to have launch with boss today at one p. m.,50
what time am i meeting john tomorrow,32
hello how are you today,5
give me everything you know about bob dean,49
start my play list,45
what's the time now,0
hey can you delete the list of things i needed to get from the store,53
mixed or fake products in market,47
activate robot vacuum cleaner,34
is there any salon in babaji nagar,19
shuffle and play songs from dance genre,45
i would like to start a new list,21
show news of migration,22
how tall is jennifer aniston,49
start playing dubstep,45
is it snowing right now,13
olly do you have any local news,22
i want the lights less brighter,31
please turn on roomba,34
remind me when i reach,50
where in the world is lyon,49
set radio,36
just set me reminders about meetings with my colleagues,50
continue to next song please,45
lets get something on the calendar for tuesday,50
define computer,26
list all the meetings scheduled for today before six p. m.,32
what is the meaning of,26
social media updates,27
turn the living rooms lights off,40
how hot is today,13
what will be the weather this week,13
i need you to convert nine am c. s. t. to e. s. t. time,38
please switch to red f. m.,36
what is mondays actual date,0
can you recommend good stores in this area,19
i want blue lighting,1
is there a way to clear my calendar,30
remind me about my meeting this afternoon please,50
sound cloud,57
google uber,54
have i set any alarm for today,23
what do i have going on next friday,32
what's a silly joke you know,25
set an alarm for twelve,48
what's the directions to the nearest pizza hut,42
add an event,50
what is this we're listening to,57
am i on vacation this week,32
i want to do funny thing every day please set a reminder,50
dating,12
is traffic heavy on route eighty today,11
name the lists available,59
what album is this song on,57
olly set meeting at seven p. m.,50
what's the price of ge right now,4
alexa write email,33
open songs by prince,45
google i need one train ticket to new york can you book that for me,2
what times are today's meetings,32
this song was very good,43
how can we prepare biryani,9
what time is it in hong kong,0
olly remind me about my eye exam at walmart on the twenty sixth,50
how many kilometers did i walk today,12
can you turn on pandora,36
i wish to know the weather in s. f.,13
tell me the time now,0
remove bananas from my shopping list,53
show me train tickets,2
turn off one light in my bedroom,40
play american idol for me now,36
olly cancel business meeting on wednesday,30
what events are on this month's schedule,32
show me what i can do with fitness,12
please let me know what's happening to my social media,27
i couldn't hear you repeat that louder,14
alexa should i wear sunscreen today,13
could you check the reminders and tell me what are pending,32
please make the lights reading friendly,1
how can i learn cooking,9
where can i find a preparation professional for under dollars,12
what is the location of kentucky,49
will the fast food shop at the corner open today,19
mark sarahs birthday party on the twelveth,50
can you set up a meeting with me,50
olly tell me what's going on tomorrow,32
convert one us dollar to euro,10
let me know if anything new shows up about this,22
how high is pikes peak,49
is mr. pizza on skip the dishes,3
display address of john,17
send mail to bubbles i want to meet her tomorrow at two p. m. in office,33
make an alarm for four p. m.,48
where is the grand canyon,49
set this before event,50
could you speak louder,14
play by favorite radio station,36
hey olly did i get any new emails,44
can you give me the latest sports news,22
get it fast resolved,47
play titanic title song,45
ask a shopping malls in my area,19
where is it,12
what is the definition of god,26
delete all details of my calendar,30
clear my schedule for the month,30
english test form email from marcia,44
what time zone is arizona,0
olly i had a long hard day,12
i want to know more about the upcoming commonwealth games,12
time in chicago,0
lights off,40
alexa add bananas to my shopping list,21
what is the purpose of life,12
i need you to add this event to my calendar,50
i would like orange lights now,1
play superstar,45
do you have any regrets or are value judgments outside the scope of your intellectual capacity,12
what is the euro to dollar exchange rate,10
don't speak for a while,46
clean my calendar,30
book a taxi for tomorrow morning,54
turn the light off,40
hey what time does the next train depart,42
i fancy some coffee now,56
get me the time in london now,0
my new work schedule list,21
olly retrieve the light for me,18
give me an update on the election tomorrow at noon,50
update my contacts with the new contact sam at gmail dot com,15
check the status of my power usage,12
i don't want any events listed on the calendar,30
tell a joke that puts smile on my face,25
is there anything on my calendar on friday in the morning after i get to work,32
add event for date and time with these people,50
can you explain me the problems when the syria becomes more stronger than america,12
please define the word hypocrisy,26
is there a article on polar bears,22
refresh email,44
book me a taxi to the mall of america please,54
is there any alarm after five am,23
please turn the music volume up,14
what news articles were on c. n. n. today,22
reduce light intensity,31
lighter shade on the lights please,31
lower audio,35
order me an uber ride please,54
please tell me the current date,0
is it going to freeze overnight,13
play irene from tobymac,45
tell me b. b. c. news,22
find the beginning of the podcast,58
what's on my schedule this week,32
speak all items for to day,59
what is twenty percent of one hundred and twenty,39
what appointments do i have today,32
cancel medical engagements this weekend,30
stocks f. flat,4
how is the spouse of obama,49
classic rock,45
myspace,27
is this person sent any email,44
how many days are left in this year,0
what's happening tonight in chicago,6
change up the light colors at home,18
what list did i make today,59
is there a way to check if there is any new news stories to read,22
place order for a chicken manchow soup from wangs kitchen restaurant,16
weather of chicago,13
alexa do need an umbrella today,13
delete recent list now,53
i want to know the stocks of amazon,4
please turn on the music player,45
find the highest rated recipe from foodnetworkcom for a four cheese omelet,9
may i know what's at location one million two hundred and fifty eight thousand seven hundred and forty five,12
please turn off the plug socket of my phone when it'll be charged,8
lower the light of hall percent,31
let me know today's date in american format,0
play a jimi hendri best song,45
hey siri have you heard any funny jokes lately,25
what does the traffic look like headed to la,11
what is the best pizza near me that delivers,16
report recent emails,44
olly what's playing in the roosendaal cinema,55
what are todays country hits,45
i love zydeco jams,43
send an email to ray,33
how much is ten u. s. d. in indian rupees,10
add opinion,43
vacuum cleaner start,34
find me news about trumps speech,22
find the most popular recipe for tacos,9
his new award,12
please check weather on tuesday,13
will you put in my calendar that john c. and his wife are meeting with us at four p. m. tomorrow,50
can you add my business meeting to the work calendar,50
google calendar,50
what is the current status of resolving general relativity with quantum physics,49
please play the morning show on ninety one point five point one f. m.,36
what is the exchange rate between the dollar and the yen,10
may i know the about alarm you set,23
what's the best chicken place near me,19
my games to play in my computers,51
tell me some joke,25
give me the address of my hairdresser for the meeting today,32
i am no longer going to wyatts birthday party,30
tell me something interesting on the message list,53
please put radio in shuffle,28
make a pot of strong coffee,56
have i received any emails in the past two hours,44
learn to cut potatoes correctly,9
what is hair made up of,49
tell me upcoming event's,32
answer email from sally,33
can you add this event with karl,50
what is the interval of train departures in chicago,42
i need a reminder at two hundred every day to check on my mother,50
turn on bob and tom,36
any new email,44
make coffee olly,56
when will my alarm go off in the morning,23
what is a substitute for margarine,9
what's around me,19
please turn on the lights,41
cancel next event,30
play it louder,14
what is the most recent update regarding the hurricane katrina,22
add eggs to the list,21
hey post my complaint to at microsoft on twitter,47
are there any recent emails from rohit,44
i am in need of a taxi right now,54
hey olly tell my today's top news,22
do i have any recent emails from my contact favorites,44
turn down the noise,46
do i need my raingear,13
tweet a complaint to apple about my iphone seven,47
what time can i call from pennsylvania and it will be business hours in australia,38
email john saying i'm on leave,33
tell me summary forecast microsoft stock forecast to thirty days ahead,4
today's news c. n. n.,22
when is my train coming,42
status for the pizza delivery from pizza hut,3
how many top ten tunes did katy perry have last year,12
when was einstein's birthday,49
lower the light level in my house,31
turn off light in bedroom,40
play all third day,45
list entry,59
tell me the definition of arrow,26
search google shopping for the best price on a monoprice mxblue mechanical keyboard,49
show b. b. c. report on migration,22
give me directions to get from here to crescent city brewhouse in new orleans,42
play the next episode of podcast,58
post this picture on twitter,47
what does pda mean,26
turn on the radio olly,36
any activity in the area,6
play maroon five moves like jagger,45
when is the next blues concert in liverpool,6
hey olly what is the definition of recipe,26
what day is today,0
how to make fried rice,9
how far away is the nearest rest stop,42
delete apples from my grocery list,53
please tell me how many days in a leap year,49
schedule city cab from home to airport at eight am,54
olly show me some news from b. b. c.,22
begin music,45
how many emails do i have from work today,44
i wanna get up at six am,48
how often does the train arrive and depart from penn station,42
set brightness to fifty percent,1
start cleaning robot cleaner,34
is the stocks which i have invested are increasing,4
i am leaving early today,12
are there any recent emails,44
send alert mail to sandy,33
remind me for tomorrow meeting,50
skip this song,7
are there any email updates,44
remove books from list,53
remove all alarm of sunday,52
set this date to repeat reminder,50
start the vacuum for me,34
do i have emails,44
search for any upcoming book fairs during next week in washington d. c.,6
when does the next train leave for atlanta,42
how is traffic over the donner summit now,11
the time difference between lagos and new york is what,38
shut off the lights in the kitchen,40
i have not gotten my daily news yet can you please brief me a little bit,22
do i have any emails from hongbin,44
delete all my appointments for today,30
repeat same song for ten times,28
robot vacuum cleaner on,34
recent conroe news,22
i am in bad mood tell me a joke,12
delete shopping from my list,53
can you make coffee,56
i hope we could eat cookies and watch movies together,12
what highly rated movies are playing this weekend,55
play pong against me,51
what time is my alarm set for,23
how to eat healthy,12
text your lost android phone to turn the ringer volume up one percent,50
what's three plus three hundred and fifty five,39
set a lunch date for next tuesday at noon with sarah at black angus,50
play me a song of adele,45
what's the stock price of this item,4
play tennis for me,51
pull up a complaint for a. o. l.,47
tell me the artist of this song,57
i just want to be you friend,12
format the calendar,30
weather report of boston,13
reply to the email from john,33
set an alarm for eight p. m.,48
does this song belongs to the classic,57
can you get me a taxi home,54
what is meryl streep famous for,49
tell me a good joke,25
what is happening with president trump,22
clear the entire month of may,30
make a new email for emily,33
please delete the next calendar event that i have created,30
what information do you have on file in my information about bill,17
hey olly has john sent me any email lately,44
set an alarm for two p. m.,48
have i received any mentions on twitter,27
stop after current song,28
what's the news from wbc right now,22
what are some good restaurants near by,19
tell me about fjords,49
what's my schedule like,32
what is the highest temperature for this week,13
hi what is happening in twitter today,27
is there a holiday on the twenty second,32
turn socket off,8
please tell me where the fair is going to be this year,32
let me know of any incoming emails for the last hour please,44
did i get any emails this week,44
i want to hear more audiobook,20
personal digital assistant,22
would you please turn on the am radio,36
b. b. c.,22
remind me at six about the meeting at seven,50
play rap songs,45
play the next recording,58
place family phone on instagram,47
turn the lights off in the bedroom,40
remove cheese from my list,53
solution for eighty one divided by nine,39
slow,14
play it after five minutes,20
turn the wemo off,8
what does my calendar look like for the next week,32
what time does the acme meeting start on friday,32
who sings this song,57
did i have any new email,44
olly tell me about it,26
when is the next train arriving to union station from grand central station,42
add gold digger to queue,45
show me share price of tata,4
how is the economy in fort worth compared to houston,12
what is on my list today,59
find me the song currently playing,57
hey olly what is the agenda for the date,32
add a marriage celebration party on this sunday,50
tell me the office address of my brother,17
play bad religion folder,45
please check email from mom,44
do i have any private messages on any social media,27
what is jimmy johns's corporate number,17
play radio ninety five point five,36
olly find out if kfc delivers please,3
any festivals in town at this time or in the coming week,6
what is the weather right now,13
i would like the house lights to be pink,1
give me updates on the situation in france,22
send me a notification an hour before my next calendar events,50
turn off the lights in the bedroom,40
add wedding to my calendar,50
change the audio settings,29
what temperature should the oil be for frying french fries,9
start robot cleaner,34
play today's podcast from the mi,58
nice music,43
let's make some popcorn and watch an old movie together,12
following scenario to answer questions,22
what are the probability that it will rain today,13
period the light should be in dim,31
is it too warm to wear my wooly sweater today,13
olly how many rivers are there in europe,49
show current events around me,6
chane light color to green,1
will it rain on friday,13
make new playlist from recent songs,21
give a list of all appointments today post three p. m.,32
remove the next event on my calendar,30
what's the time of day right now,0
please turn off my alarm for this evening,52
what are the coordinates of everest,49
how long should i cook a hamburger on each side,9
raise the lights alexa,18
what's the closing price of apple,4
how much is one u. s. d. in inr,10
tweet complaint to american eagle customer service,47
did the boss send anything,44
get me to my friends list,59
what is the time in london,0
how high is this mountain,12
remind me of my meeting at five p. m.,50
more light,18
what is six times sixty eight,39
how long does it take water to boil,9
death metal now,45
put a disco track,45
please call a taxi to arrive at four hundred and take me to the manor theater,54
what day of the week is halloween,0
open me a new list,21
please send a tweet to food lion about not having a clean restroom,47
add mike's birthday on march third to my calendar,50
increase brightness by twenty percent,18
tweet my complaint to at n.s.a.,47
what's that the album is current music from,57
show newest emails,44
find exchange rate for u. s. d. to euro,10
play david bowie playlist,45
do i have a meeting tomorrow,32
do i have any emails from robert,44
add a new email contact to my list,15
what's the time in denver,0
is california between nevada and new york,49
add new item,21
play marvin gaye i want you,45
calendar erase all,30
newest world news,22
what does the hyphen represent in the equation,12
do i have a meeting today,32
how heavy is the traffic on the i fifteen in las vegas this hour,11
i'dl like to hear any classical except for bach or schubert,45
open pandora app and play station amed hoizer radio,36
please let me know the train time to washington,58
are there any emails from cassie about tom,44
please set alarm for all days,48
what's the weather like,13
email ashwin patel my best wishes and an attachment of work p. d. f.,33
if it is four p. m. in missouri what time is it in london,38
go to contacts and add a new email to the list,33
send email to joanne at a. o. l. dot com and add as new contact,33
how's the weather,13
can you please describe the iphone seven,26
add a meeting with francine for two p. m. tomorrow,50
what are the lyrics to this song playing,57
deactivate smart plug socket,8
send email to jim's work email,33
play radio station,36
can you please order me some mcdonalds,16
please save my opinion about the song that is currently playing,43
what is the weather forecast for today,13
off the plug,8
can i change this light to orange,1
did i set my house alarm,23
check for hot news in times of india,22
let me know if there are any new emails from callum,44
what is the outcome of blank today,22
set a notification for eleven march that an interview is scheduled with mr. rodriguez,50
how about some pizza tonight can you please order a pepperoni large,16
get us spaghetti from pizza hut,16
all lights has to be turned off during the day,40
play the audiobook swan from first,20
tell me chinese restaurants in the area,19
how long will be the duration of the event,32
the time,0
i would like to listen to some down tempo,45
remind me to fill college's application form every two days from now,50
get me news,22
journal entry for today,12
i need you to set an alarm,48
how far did i walk this morning,32
olly send email to family member and read it first,33
start my folk song list right after this song,45
use email to let chris know i will be late,33
please show new emails,44
today is fifth march,32
remind me when a contact calls,50
please cancel my next hair cut,30
find the nearest taxi,54
if i could go anywhere in the world where should i travel,12
most current local news,22
order me some chipotle,16
is it forecasted to rain in the next two days,13
delete my list of appointments for tomorrow,53
what news came out about steve bannon,22
add event every second friday of the month,50
find a recipe for german chocolate cake,9
open the local news app,22
meeting tuesday noon,50
buying clothes,59
what do i need to complete first from the list,59
follow trump campaign news feed,22
what is my most played podcast,58
check the latest news,22
is the traffic bad enough that i should leave early,11
will i need to carry an umbrella with me today,13
olly remind me my mom's birthday a week before,50
define this object,26
switch up the color of the lights in the house,18
i need the time zone from london england instead of central time zone,38
what is the lowest population per square mile in africa,49
please tell me the weather,13
what's an easy recipe to cook for food,9
please tell me local events,6
how does she do her makeup,12
explain photosynthesis,26
what does my schedule look like after three p. m. today afternoon,32
events happening between eight am and five p. m. today,32
play bohemian raphsody for me,45
any specific event in washington,6
what's bob scrote's net worth,49
put the playlist on shuffle,28
remind me about meeting,50
olly any fresh news on brad pitt,22
join this,21
can you backward an episode in the podcast,58
should i be concerned about the robot vacuum cleaner upon startup,12
olly play be warned by tech nine,50
where can i shop as a local tourist,19
how much does one share of stock in lego cost,4
send a taxi to come pick me up from my location,54
blanket definition,26
ok google lower all volume on speakers please,35
compose a tweet for youtube,47
tell me the highest mountain in the world,49
what's the latest email i have,44
where is leah remini from,49
synonym of word,26
rate between these currencies,10
open calendar set event,50
will it be warm on friday night,13
is there a need for sun glasses,13
delete my meeting for tomorrow,30
is it going to rain on friday,13
i expect you to remove the item from the list,53
remove my scheduled calendar events if you could,30
make an appointment for me next saturday at five at the library and set a reminder,50
what's the date today,0
restart the audiobook heaven is for real,20
please tweet the following complaint,47
delete this event on march three,30
hoover the carpets around,34
accident or normal traffic,11
turn the volume off,46
clear current calendar,30
what's on the list,59
send an email to george brown,33
traffic status please,11
the list contain what,59
does the restaurant have carry-out,3
any updates from donald trump's tweet feed,22
i need next weeks lunch put on the calendar,50
will the snow stop before seven am tomorrow,13
design the chemical compounds necessary to create sugar that doesn't cause diabetes or weight gain but doesn't provide a chemical taste,49
hey i saw a dog today,12
tell me about amazon's history,49
turn on when plugged in else turn off,24
press play on the radio,36
what is happening with brexit today,22
what is the weather like today,13
olly please tell me the contact details of my brother,17
show me all scheduled alarms,23
remove that event from list,53
can you add milk to my grocery list,21
i want to reply to allen,33
can you please update me on the latest tweets from my feed,27
where can i buy a switch,12
just let me know the train time to california,58
lets listen to the playlist,45
can you tell me the exchange rate for canadian currency,10
play me harry potter from the place i last stopped listening on,20
prepare list,21
i would like to order takeaway,16
how many rivers are there in europe,49
what is the latest headline news from this newsource,22
hi please send mail to sam by evening,33
is tomorrow's appointment in the middletown office,32
i want you to create a list for me,21
on the day project one is due does my daughter have a recital,32
olly i need to remember to get to the shops before they close,50
how many new articles have been posted at u. s. a. today in the past hour,22
what is the temperature right now in new york,49
hello google post my current status on twitter mentioning a great trip to paris with friends and family,47
open email check messages,44
please change time zone to india,38
i need you to turn on the vacuum cleaner,34
is objects prefers any problems,12
delete the list please,53
wemo plug socket off,8
what restaurants around here have good reviews,19
good morning isn't it a great day,12
replace the current light colors in the house with dark ones,1
how many new emails do i have,44
facebook info,27
what are the latest changes happening today in the us,22
what do you think i look like,12
find me a train ticket next monday to new york city,2
olly add diapers in cosmetic list,21
any sport event is on my list,59
schedule a meeting this monday with peter francis in the afternoon,50
name stores within ten mile radius with music,19
is the farmers market open this weekend in iowa,6
remind me to call my grandma this sunday,50
how much does the average car weigh,49
give me the date of monday on third week of this month,0
is it a good day to go to the beach,13
do i have any reminders,32
play a movie i'll like,55
tweet google customer service their products are inferior,47
guide me to the restaurant,19
show me events that are going on right now,32
when was born abraham lincoln,49
tell me random joke,25
i need a six am wake up call,48
do i have new likes,27
family date this monday,50
generate a new inventory,21
raise the volume of the speakers,14
tell me when the next alarms are for,23
do i have any alarms,23
can i get delivery from dominoes,3
please schedule an appointment at my doctor for a prostate exam on friday,50
remind me when mom sends me an email,44
hey turn the volume high,14
tweet a complaint to apple that their battery life is terrible,47
play the jazz station,36
reduce the light power,31
set event on repeat,50
olly book me a taxi to leith in half an hour,30
i need to get going at eight am tomorrow set up an alarm thirty minutes before that,48
send email to newmail at gmail dot com,33
tell me about any pending reminder,32
what color is the sky,49
please increase the volume,14
remove the doctor's appointment i added to my calendar for february twelfth at nine am,30
how much is twenty argentinian pesos in pounds,10
are there any emails from the school about my conference,44
how deep is the pacific ocean,49
play latest country music releases,45
the twenty second is on what day of the week,0
i want you to remove the wedding on the tenth from my calendar,30
add a new email in my contacts from john,15
schedule a journey to las vegas by train,2
what song is playing,57
what is the weather like in toronto,13
let us play cross words,51
please give me all updates on the election,22
alexa amd's current stock prices,4
what will the temperatures be for the next week,13
play country playlist,45
do i have any off days this week,32
show me news from c. n. n.,22
how old is madonna,49
what is the best mexican restaurant in seattle,19
when is the doctor's appointment,32
do i have any unread emails from chris thompson,44
find a non stop train to seattle,2
person name,49
open jokes,25
is there any event today in my calendar,32
start me a new list,21
hey siri cancel whatever is scheduled next on my calendar,30
time wellington nz,0
where does tar work currently,17
please book a train ticket to,2
do i have any new emails,44
start playing f. m. one oh nine,36
start vacuuming,34
what music is this,57
please remove dinner date scheduled for this friday at nine p. m.,30
did linda connors reply to any of my emails this morning,44
that background song is terrible,7
its sunny today,13
remove alarm of six am on tuesday,52
has tom emailed me,44
set up a meeting with my tanya for every thursday at ten am,50
set lights to twenty percent,1
how many times did ben email me,44
play last christmas by george michael,45
make the lights a different color,1
what is motorola going for today,4
who am i meeting at work tomorrow,32
add oil change to my to do list,21
read available lists,59
what is my schedule for tomorrow morning,32
do i have any lists for the upcoming week,59
can i get a cup of coffee,56
olly what are some highly rated restaurants in this area,19
turn bedroom lights off,40
add mow lawn to things to do list,21
play music that are classical only,45
play classical music,45
create a new to do list,21
play a song,45
turn off plug,8
raise living room lights half way,18
please tell me the date and time,0
lights off in the guest room,40
start coffee machine,56
what is kevin spacey doing,49
has mom sent me any emails,44
how many corporate meetings do i have this week,32
ask me easy questions about a subject i know and tell me when i'm wrong,12
my lists,59
do i have any email from work,44
tell me what is on my list,59
tell me the latest technology news,22
make my iroomba clean the living room,34
hi play me playlist of a r. rehman songs released current year,45
play radia,36
show me new emails from my inbox,44
how many tablespoons are there in a cup,49
remove the upcoming calendar event,30
put crazy by britney spears on,45
i just want to know some information about you,12
play lady gaga starting with poker face,45
what will the weather be like in austin on march sixteenth,13
what is the time in hyderabad,0
what are the latest updates on my facebook account,27
silence please,46
what's new with the stock market,4
raise the volume to sixty,14
check time of ten thousand eight hundred and eighty seven train from jodhpur station on monday,42
play only classical music,45
remind me of my dentist appointment in two hours,50
please tell me what will be rainy day based on the weather forecast,13
please cook me a hamburger,9
olly does that new chinese restaurant deliver,3
may i know what is trending in facebook,27
help microphone,26
will the restaurant deliver the order,3
what's the news from source,22
hello is this your first time here,12
do i have a lunch on friday,32
acquire latest news,22
aib podcast on kashmirstart it,58
keep reading,20
i need you to be quiet until tomorrow,46
i had chicken for lunch and it was delicious,12
is fox news reporting any breaking news at this time,22
what's the highest mountain range in the world,49
lets listen to hunt for read october,20
brew me some coffee,56
tell next day's event,32
cancel the plan of party,30
i am bored,12
alexa what's it like being a tool for the n. s. a.,12
please tell me what a crankshaft is,26
today i ran into my old friend bob,12
can i get some background music,45
get info,49
email to caroline how are you can you send me updates on last project cheers tomasz,33
can i order olive garden to go,3
what new posts are on my page,27
my events,32
what is the name of that song,57
tell me keywords about usain bolt,49
may i know the weather there,13
can you find the dave ramsey podcast that aired earlier today,58
olly hot and sweet soy based,56
turn on hall lights,41
what is the time over in florida,0
add to calendar on this date and time with these people,50
please mute yourself,46
are there any good movies running in nearby theaters,55
alert me thirty minutes before my meeting at three p. m. tomorrow,50
notify me about news,22
good morning vietnam,12
quiet mode four hours,46
what was the temperature in new york this morning,13
what is this music called,57
remove all scheduled events on my calendar please,30
system pull any traffic news for my commute,11
check emails from mom,44
how many teaspoons are in a cup,9
post pic on my phone on facebook,47
play me some melody song,45
you need to give me different directions,42
are there going to be any showers tomorrow morning,13
i would like it to be able to check if there was anyone else in the house,12
what are my new emails,44
ok google did angelina jolie leave brad pitt,49
tweet a complaint about poor drainage system,47
what happened with it,22
is it sunny today,13
is it worth driving ten miles from here to save money on gas,12
turn on music by seal,45
i have a date with the world bank group on the twenty eighth please remind me,50
what is the current weather in miami,13
what is the weather in austin,13
fix an alarm,48
did any emails come for me in the last five hours,44
can i get a list of the news from the wall street journal,22
search for trains leaving tonight for london,42
do i have a date for tonight,32
add work to my calendar for every friday,50
what's happening in pop industry,22
please send an email to the following email address hwu at gmail dot com,33
what happened last week,22
add a notification from bob's news on the weather,22
resume harry potter book one,20
send a remind email,33
do i have meetings today,32
would you like to play never have i ever,51
set a meeting with mr. forman for thursday at two p. m.,50
add new year with family next week,50
time to sleep olly,40
what is my next event,32
play my morning playlist,45
olly set a lunch date for next tuesday at noon with sarah at black angus,50
what are the trending topics in the world,22
lower volume,35
delete the christmas party at the church next wednesday,30
spelling,12
i was late today for the meeting you would not believe what happened,12
repeat this event,50
play b. b. c. radio,36
define love without invoking the term love,26
find my wife,17
call eastwind and order lomaine to go,16
i'd like to listen to poker face by lady gaga,45
oliver will send me an email on thursday and please set up a calendar appointment for our meeting based on the date he will provide on that email,50
